Insurance_plan;CPM;P_term;Healthcare_cover;NC_reimbursement;Bundle_options;Dental_options;Physio_term;Mental_health_options;International_cover
United Customers: Conscious Choice;127;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;63;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;62;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;65;Limited;No;No;No;Limited
United Customers: Conscious Choice;130;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;64;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;124;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;132;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;124;Monthly;Wide;58;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;55;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;61;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;58;Limited;No;Yes;No;Yes
United Customers: Conscious Choice;123;Monthly;Unlimited;60;Wide;No;Yes;No;Limited
United Customers: Conscious Choice;131;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;56;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;59;Limited;No;Yes;No;Yes
United Customers: Conscious Choice;127;Yearly;Unlimited;62;Wide;No;Yes;Yes;Yes
United Customers: Conscious Choice;127;Quarterly;Unlimited;58;Unlimited;Yes;Yes;No;Limited
United Customers: Conscious Choice;125;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;130;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;62;Limited;No;Yes;No;Limited
United Customers: Basic Choice;132.95;Monthly;Limited;70;Limited;No;No;No;Limited
United Customers: Basic Choice;134;Monthly;Wide;71;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;135;Monthly;Unlimited;72;Unlimited;Yes;Yes;No;Yes
United Customers: Basic Choice;133;Monthly;Unlimited;71;Unlimited;Yes;Yes;No;Yes
United Customers: Basic Choice;131;Monthly;Wide;70;Wide;Yes;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;69;Limited;No;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;71;Wide;Yes;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;71;Limited;No;No;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;69;Limited;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;72;Wide;No;No;No;Yes
United Customers: Basic Choice;138;Monthly;Wide;69;Limited;No;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;131;Monthly;Wide;70;Wide;Yes;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;131;Monthly;Unlimited;70;Unlimited;Yes;Yes;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;70;Wide;No;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;70;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;68;Wide;No;No;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;68;Limited;No;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;70;Wide;No;No;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;71;Wide;No;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;71;Wide;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;73;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;72;Wide;No;No;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;68;Wide;No;No;No;Yes
United Customers: Basic Choice;131;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;130;Monthly;Wide;67;Wide;No;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;71;Limited;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;71;Wide;No;No;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;73;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;131;Monthly;Wide;72;Wide;Yes;No;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;74;Wide;No;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;71;Wide;Yes;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;71;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;70;Wide;No;No;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;73;Limited;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;131;Yearly;Unlimited;69;Unlimited;Yes;Yes;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;69;Wide;Yes;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;73;Limited;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;71;Wide;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;71;Wide;Yes;No;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;67;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;137;Monthly;Wide;73;Limited;No;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;70;Wide;Yes;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;130;Monthly;Wide;70;Wide;Yes;No;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;69;Limited;No;No;No;Limited
United Customers: Basic Choice;131;Monthly;Wide;71;Limited;No;No;No;Yes
United Customers: Basic Choice;130;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;70;Wide;Yes;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;71;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;65;Limited;No;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;131;Monthly;Wide;68;Limited;No;No;No;Yes
United Customers: Basic Choice;135;Monthly;Limited;70;Limited;No;No;No;Limited
United Customers: Basic Choice;134;Monthly;Wide;66;Wide;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;68;Wide;Yes;No;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;68;Wide;No;No;No;Yes
United Customers: Basic Choice;128;Monthly;Wide;68;Wide;No;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;67;Wide;Yes;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;69;Limited;No;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;71;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;70;Wide;No;No;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;72;Wide;No;No;No;Yes
United Customers: Basic Choice;128;Monthly;Wide;65;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;131;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;67;Limited;No;No;No;Limited
United Customers: Basic Choice;132;Monthly;Wide;75;Wide;Yes;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;70;Wide;No;No;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;72;Wide;No;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;70;Wide;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;70;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;68;Wide;Yes;No;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;73;Limited;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;69;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;71;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;69;Limited;No;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;69;Wide;No;No;No;Yes
United Customers: Basic Choice;129;Monthly;Wide;67;Wide;Yes;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;69;Wide;Yes;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;71;Wide;No;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;71;Wide;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;70;Limited;No;No;No;Yes
United Customers: Basic Choice;130;Monthly;Wide;72;Wide;No;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;70;Wide;No;No;No;Yes
United Customers: Basic Choice;135;Monthly;Wide;70;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;134;Monthly;Unlimited;73;Unlimited;Yes;Yes;No;Yes
United Customers: Basic Choice;128;Monthly;Wide;69;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;70;Wide;Yes;No;No;Yes
United Customers: Basic Choice;136;Monthly;Wide;71;Wide;No;No;No;Yes
United Customers: Basic Choice;132;Yearly;Unlimited;66;Unlimited;Yes;Yes;No;Yes
United Customers: Basic Choice;135;Quarterly;Unlimited;69;Unlimited;Yes;Yes;Yes;Yes
United Customers: Basic Choice;133;Monthly;Wide;68;Wide;Yes;Yes;No;Yes
United Customers: Basic Choice;134;Monthly;Wide;71;Wide;No;No;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;72;Wide;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Wide;70;Limited;No;No;No;Yes
United Customers: Basic Choice;132;Monthly;Unlimited;75;Unlimited;Yes;Yes;No;Yes
United Customers: Basic Choice;133;Monthly;Wide;72;Wide;No;No;No;Yes
United Customers: Wide Choice;141.95;Monthly;Limited;80;Limited;No;No;No;Limited
United Customers: Wide Choice;142;Monthly;Wide;80;Wide;No;No;No;Yes
United Customers: Wide Choice;139;Monthly;Wide;80;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;143;Monthly;Wide;78;Wide;No;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;81;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;145;Monthly;Wide;76;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;81;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;140;Monthly;Wide;81;Wide;Yes;No;No;Yes
United Customers: Wide Choice;143;Monthly;Unlimited;79;Unlimited;Yes;Yes;No;Yes
United Customers: Wide Choice;143;Quarterly;Unlimited;83;Unlimited;Yes;Yes;Yes;Yes
United Customers: Wide Choice;143;Monthly;Limited;84;Limited;No;No;No;Limited
United Customers: Wide Choice;144;Monthly;Wide;77;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;144;Monthly;Limited;80;Limited;No;No;No;Limited
United Customers: Wide Choice;143;Monthly;Wide;77;Wide;Yes;No;No;Yes
United Customers: Wide Choice;140;Monthly;Wide;81;Wide;Yes;No;No;Yes
United Customers: Wide Choice;137;Monthly;Wide;80;Limited;No;No;No;Limited
United Customers: Wide Choice;140;Monthly;Wide;78;Wide;No;No;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;82;Wide;No;No;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;82;Limited;No;No;No;Yes
United Customers: Wide Choice;140;Monthly;Limited;79;Limited;No;No;No;Limited
United Customers: Wide Choice;140;Monthly;Wide;80;Wide;No;No;No;Yes
United Customers: Wide Choice;139;Monthly;Wide;79;Wide;No;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;80;Wide;No;No;No;Yes
United Customers: Wide Choice;143;Monthly;Wide;78;Wide;Yes;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;78;Limited;No;No;No;Limited
United Customers: Wide Choice;139;Monthly;Wide;81;Wide;No;No;No;Yes
United Customers: Wide Choice;143;Monthly;Wide;79;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;145;Monthly;Wide;80;Wide;Yes;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;79;Wide;No;No;No;Yes
United Customers: Wide Choice;139;Monthly;Limited;80;Limited;No;No;No;Limited
United Customers: Wide Choice;143;Monthly;Wide;81;Wide;No;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;79;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;139;Monthly;Wide;83;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;79;Wide;No;No;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;79;Wide;No;No;No;Yes
United Customers: Wide Choice;143;Monthly;Wide;83;Limited;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Limited;83;Limited;No;No;No;Limited
United Customers: Wide Choice;141;Monthly;Wide;82;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;140;Monthly;Wide;82;Wide;No;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;81;Wide;No;No;No;Yes
United Customers: Wide Choice;142;Monthly;Unlimited;78;Unlimited;Yes;Yes;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;79;Wide;No;No;No;Yes
United Customers: Wide Choice;139;Monthly;Wide;81;Wide;No;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;81;Wide;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;80;Wide;No;No;No;Yes
United Customers: Wide Choice;138;Monthly;Wide;85;Wide;Yes;No;No;Yes
United Customers: Wide Choice;143;Monthly;Wide;83;Wide;Yes;No;No;Yes
United Customers: Wide Choice;145;Monthly;Wide;82;Wide;No;No;No;Yes
United Customers: Wide Choice;140;Monthly;Wide;80;Wide;No;No;No;Yes
United Customers: Wide Choice;142;Monthly;Limited;83;Limited;No;No;No;Limited
United Customers: Wide Choice;144;Monthly;Wide;82;Wide;No;No;No;Yes
United Customers: Wide Choice;143;Monthly;Wide;80;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;79;Wide;No;No;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;80;Limited;No;No;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;82;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;146;Monthly;Wide;80;Wide;Yes;No;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;77;Wide;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;81;Limited;No;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;79;Wide;No;No;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;79;Wide;Yes;No;No;Yes
United Customers: Wide Choice;139;Monthly;Wide;76;Wide;No;No;No;Yes
United Customers: Wide Choice;140;Monthly;Wide;81;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;81;Wide;No;No;No;Yes
United Customers: Wide Choice;143;Monthly;Wide;79;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;77;Wide;No;No;No;Yes
United Customers: Wide Choice;140;Monthly;Wide;78;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;80;Wide;No;No;No;Yes
United Customers: Wide Choice;140;Monthly;Wide;76;Wide;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;85;Wide;No;No;No;Yes
United Customers: Wide Choice;138;Monthly;Wide;81;Wide;No;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;78;Wide;No;No;No;Yes
United Customers: Wide Choice;145;Monthly;Wide;82;Wide;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;79;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;79;Wide;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;83;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;140;Monthly;Wide;83;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;80;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;142;Monthly;Limited;81;Limited;No;No;No;Limited
United Customers: Wide Choice;141;Monthly;Wide;82;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;78;Wide;No;No;No;Yes
United Customers: Wide Choice;147;Monthly;Wide;80;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;81;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;139;Monthly;Wide;81;Wide;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;85;Wide;Yes;No;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;80;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;80;Wide;Yes;Yes;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;78;Wide;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;80;Wide;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;78;Wide;No;No;No;Yes
United Customers: Wide Choice;142;Monthly;Wide;82;Wide;No;No;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;81;Wide;No;No;No;Yes
United Customers: Wide Choice;143;Monthly;Wide;76;Limited;No;No;No;Yes
United Customers: Wide Choice;141;Monthly;Wide;82;Wide;No;No;No;Yes
United Customers: Wide Choice;138;Monthly;Wide;83;Limited;No;No;No;Limited
United Customers: Wide Choice;142;Monthly;Wide;77;Wide;Yes;No;No;Yes
United Customers: Wide Choice;138;Yearly;Unlimited;81;Unlimited;Yes;Yes;No;Yes
United Customers: Wide Choice;144;Monthly;Wide;78;Wide;No;No;No;Yes
United Customers: Wide Choice;140;Monthly;Wide;83;Wide;No;No;No;Yes
United Customers: Wide Choice;138;Monthly;Wide;82;Wide;No;No;No;Yes
United Customers: Wide Choice;143;Monthly;Wide;79;Wide;No;No;No;Yes
United Customers: Own Choice;155.65;Monthly;Limited;95;Limited;No;No;No;Yes
United Customers: Own Choice;157;Monthly;Wide;94;Wide;No;No;No;Yes
United Customers: Own Choice;157;Monthly;Wide;96;Wide;Yes;Yes;No;Yes
United Customers: Own Choice;157;Monthly;Wide;99;Wide;No;No;No;Yes
United Customers: Own Choice;155;Monthly;Wide;97;Wide;Yes;Yes;No;Yes
United Customers: Own Choice;160;Monthly;Wide;96;Wide;Yes;Yes;No;Yes
United Customers: Own Choice;157;Monthly;Wide;94;Wide;Yes;Yes;No;Yes
United Customers: Own Choice;156;Monthly;Wide;97;Wide;Yes;No;No;Yes
United Customers: Own Choice;153;Monthly;Unlimited;94;Unlimited;Yes;Yes;No;Yes
United Customers: Own Choice;155;Quarterly;Unlimited;95;Unlimited;Yes;Yes;No;Yes
United Customers: Own Choice;156;Monthly;Limited;95;Limited;No;No;No;Yes
United Customers: Own Choice;156;Monthly;Wide;94;Wide;Yes;Yes;No;Yes
United Customers: Own Choice;156;Monthly;Limited;97;Limited;No;No;No;Yes
United Customers: Own Choice;155;Monthly;Wide;94;Wide;Yes;No;No;Yes
United Customers: Own Choice;153;Monthly;Wide;93;Wide;Yes;No;No;Yes
United Customers: Own Choice;159;Monthly;Wide;94;Limited;No;No;No;Yes
United Customers: Own Choice;155;Monthly;Wide;99;Wide;No;No;No;Yes
United Customers: Own Choice;154;Monthly;Wide;96;Wide;No;No;No;Limited
United Customers: Own Choice;155;Monthly;Wide;96;Limited;No;No;No;Yes
United Customers: Own Choice;154;Monthly;Limited;93;Limited;No;No;No;Limited
United Customers: Own Choice;152;Monthly;Wide;96;Wide;No;No;No;Yes
United Customers: Own Choice;157;Monthly;Wide;96;Wide;No;No;No;Limited
United Customers: Own Choice;156;Monthly;Wide;91;Wide;No;No;No;Yes
United Customers: Own Choice;154;Monthly;Wide;91;Wide;Yes;No;Yes;Yes
United Customers: Own Choice;153;Monthly;Wide;91;Limited;No;No;No;Yes
United Customers: Own Choice;154;Monthly;Wide;95;Wide;No;No;No;Yes
United Customers: Own Choice;154;Monthly;Wide;95;Wide;Yes;Yes;No;Yes
United Customers: Own Choice;156;Monthly;Wide;93;Wide;Yes;No;No;Yes
United Customers: Own Choice;155;Monthly;Wide;96;Wide;No;No;No;Yes
United Customers: Own Choice;153;Monthly;Limited;94;Limited;No;No;No;Yes
United Customers: Own Choice;158;Monthly;Wide;96;Wide;No;No;No;Limited
United Customers: Own Choice;156;Monthly;Wide;93;Wide;Yes;Yes;No;Yes
United Customers: Own Choice;156;Monthly;Wide;96;Wide;Yes;Yes;No;Yes
United Customers: Own Choice;153;Monthly;Wide;95;Wide;No;No;No;Yes
United Customers: Own Choice;153;Monthly;Wide;94;Wide;No;No;No;Yes
United Customers: Own Choice;155;Monthly;Wide;91;Limited;No;No;No;Yes
United Customers: Own Choice;158;Monthly;Limited;98;Limited;No;No;No;Yes
United Customers: Own Choice;154;Monthly;Wide;94;Wide;Yes;Yes;No;Yes
United Customers: Own Choice;157;Monthly;Wide;99;Wide;No;No;No;Yes
United Customers: Own Choice;157;Monthly;Wide;92;Wide;No;No;No;Yes
United Customers: Own Choice;159;Monthly;Unlimited;95;Unlimited;Yes;Yes;No;Yes
United Customers: Own Choice;155;Monthly;Wide;98;Wide;No;No;No;Yes
United Customers: Own Choice;153;Monthly;Wide;93;Wide;No;No;No;Yes
